Region,Lansat Date,Urban area,State,A δLST,B δLST,C δLST,D δLST,D-A (°C),A Tree cover %,B Tree cover %,C Tree cover %,D Tree cover %
Midwest,29-Jul-17,Joliet,IL,0.7,0.95,-0.1,-0.77,-1.47,15.538567,11.7935792,14.3386251,16.733715
,9-Aug-17,Lima,OH,2.64,-2.07,0.08,1.81,-0.83,29.630212,17.4952848,18.8897408,15.9803798
,6-Jul-17,Lake County,IN,0.31,-0.42,0.26,-0.19,-0.5,NA,NA,NA,NA
,1-Aug-14,Pontiac,MI,1.07,-0.15,-0.58,0.68,-0.39,25.7321748,30.5734241,16.2462464,17.3074297
,20-Jun-17,Evansville,IN,-0.08,0.02,0.28,-0.47,-0.39,21.6087074,16.3922252,16.8926329,18.9645442
,5-Jun-14,Saginaw,MI,0.04,-0.16,0.06,-0.1,-0.14,26.4615571,22.8476054,15.9061924,14.4768678
,30-Aug-15,Duluth,MN,-0.62,0.62,0.17,-0.51,0.12,15.7611387,15.5718897,17.0021264,22.0594388
,12-Jun-16,Canton,OH,-0.44,0.13,-0.04,0.01,0.45,14.6243449,10.5929368,10.4998807,10.6023952
,4-Aug-15,Springfield,OH,-1.17,0.61,0.61,-0.65,0.52,28.8028369,17.7959525,16.4350462,19.1974185
,1-Aug-14,Flint,MI,-0.72,0.09,0.16,-0.09,0.64,35.4707754,20.1132514,16.5055649,15.1251532
,7-Jun-14,Akron,OH,-0.6,0.42,-0.09,0.05,0.66,29.8476692,17.5976868,20.9447094,22.5325203
,3-Jun-14,Aurora,IL,-0.46,-0.62,0.16,0.34,0.8,20.7603245,16.6355152,13.2237364,13.2697245
,25-Jun-17,Springfield,MO,-0.98,-1.06,0.55,-0.05,0.94,19.8074671,21.1775028,11.9654308,12.9006168
,8-Aug-16,Youngstown,OH,-1.08,0.26,0.16,-0.01,1.07,32.9603779,22.2341296,27.5163465,32.4006159
,5-Jun-14,Fort Wayne,IN,-0.79,0.11,0,0.34,1.14,24.3615589,18.517022,14.3013295,8.32461686
,21-Aug-15,St. Joseph,MO,-0.79,-0.32,-0.16,0.39,1.19,23.2643424,17.8961909,12.3902032,13.1852604
,2-Aug-15,Terre Haute,IN,-2.17,1.23,1.27,-0.89,1.28,14.1383786,9.25991673,9.96930699,10.7380143
,28-Jul-15,Columbus,OH,-0.65,-0.44,0.24,0.69,1.34,26.7386077,20.5068291,14.6473169,9.8986337
,29-Jul-17,Decatur,IN,-1.48,-0.13,0.58,0.08,1.56,26.6727273,14.5879878,11.8254385,9.29466717
,17-Aug-17,Wichita,KS,-0.92,-0.4,-0.34,0.78,1.7,26.0290861,22.0687758,20.2106998,14.4524958
,21-Jun-16,Warren,OH,-1.02,-0.18,-0.08,0.72,1.74,24.1591186,19.5284826,18.8514892,19.2609418
,19-Jun-16,Detroit,MI,-1.36,-0.55,0.08,0.52,1.88,24.2563885,15.7029322,11.7754805,8.57534738
,31-Jul-17,Battle Creek,MI,-2.01,0.01,0.26,0.13,2.14,28.0367065,23.8513971,19.7423252,20.6309222
,24-Jun-16,Milwaukee,WI,-1.74,-0.36,0.34,0.47,2.21,27.5754212,13.4307885,10.4261701,7.9724971
,19-Jun-16,Toledo,OH,-1.72,0.44,0.13,0.69,2.41,38.0455758,19.4295517,14.1350664,11.8448412
,25-Jul-17,Greater Kansas City,MO,-1.99,-0.56,0.25,0.53,2.52,23.4339753,16.6713022,13.9651863,16.1331074
,12-Jun-16,Cleveland,OH,-1.22,-0.31,0.27,1.32,2.55,25.7028872,22.8310534,15.038192,10.1870494
